,P_resultante,P_sc,P_pv,Tiempo [m]
0,4.57,-4.999999999988347e-05,4.57005,0.0
1,4.56052,-4.999999999988347e-05,4.56057,0.0016666666666666668
2,4.55105,-4.999999999988347e-05,4.5511,0.0033333333333333335
3,4.54158,-4.999999999988347e-05,4.54163,0.005
4,4.5321,-4.999999999988347e-05,4.53215,0.006666666666666667
5,4.52263,-4.999999999988347e-05,4.52268,0.008333333333333333
6,4.51316,-4.999999999988347e-05,4.51321,0.01
7,4.50368,-4.999999999988347e-05,4.50373,0.011666666666666667
8,4.49995,-4.999999999988347e-05,4.5,0.013333333333333334
9,4.49995,-4.999999999988347e-05,4.5,0.015
10,4.49995,-4.999999999988347e-05,4.5,0.016666666666666666
11,4.49995,-4.999999999988347e-05,4.5,0.018333333333333333
12,4.49995,-4.999999999988347e-05,4.5,0.02
13,4.49995,-4.999999999988347e-05,4.5,0.021666666666666667
14,4.49995,-4.999999999988347e-05,4.5,0.023333333333333334
15,4.49995,-4.999999999988347e-05,4.5,0.025
16,4.5028500000000005,-4.999999999988347e-05,4.5029,0.02666666666666667
17,4.5101700000000005,-4.999999999988347e-05,4.51022,0.028333333333333332
18,4.51748,-4.999999999988347e-05,4.51753,0.03
19,4.5248,-4.999999999988347e-05,4.52485,0.03166666666666667
20,4.53212,-4.999999999988347e-05,4.53217,0.03333333333333333
21,4.53943,-4.999999999988347e-05,4.53948,0.035
22,4.54675,-4.999999999988347e-05,4.5468,0.03666666666666667
23,4.55407,-4.999999999988347e-05,4.55412,0.03833333333333333
24,4.56138,-4.999999999988347e-05,4.56143,0.04
25,4.5687,-4.999999999988347e-05,4.56875,0.041666666666666664
26,4.57602,-4.999999999988347e-05,4.57607,0.043333333333333335
27,4.58334,-4.999999999988347e-05,4.58339,0.045
28,4.58995,-4.999999999988347e-05,4.59,0.04666666666666667
29,4.58137,-4.999999999988347e-05,4.58142,0.04833333333333333
30,4.56904,-4.999999999988347e-05,4.56909,0.05
31,4.55671,-4.999999999988347e-05,4.55676,0.051666666666666666
32,4.54438,-4.999999999988347e-05,4.54443,0.05333333333333334
33,4.53205,-4.999999999988347e-05,4.5321,0.055
34,4.51972,-4.999999999988347e-05,4.51977,0.056666666666666664
35,4.5074000000000005,-4.999999999988347e-05,4.50745,0.058333333333333334
36,4.49995,-4.999999999988347e-05,4.5,0.06
37,4.49995,-4.999999999988347e-05,4.5,0.06166666666666667
38,4.49995,-4.999999999988347e-05,4.5,0.06333333333333334
39,4.49995,-4.999999999988347e-05,4.5,0.065
40,4.49995,-4.999999999988347e-05,4.5,0.06666666666666667
41,4.49995,-4.999999999988347e-05,4.5,0.06833333333333333
42,4.49995,-4.999999999988347e-05,4.5,0.07
43,4.49995,-4.999999999988347e-05,4.5,0.07166666666666667
44,4.49995,-4.999999999988347e-05,4.5,0.07333333333333333
45,4.49995,-4.999999999988347e-05,4.5,0.075
46,4.49995,-4.999999999988347e-05,4.5,0.07666666666666666
47,4.49995,-4.999999999988347e-05,4.5,0.07833333333333334
48,4.49995,-4.999999999988347e-05,4.5,0.08
49,4.49995,-4.999999999988347e-05,4.5,0.08166666666666667
50,4.49995,-4.999999999988347e-05,4.5,0.08333333333333333
51,4.49995,-4.999999999988347e-05,4.5,0.085
52,4.49995,-4.999999999988347e-05,4.5,0.08666666666666667
53,4.49995,-4.999999999988347e-05,4.5,0.08833333333333333
54,4.49995,-4.999999999988347e-05,4.5,0.09
55,4.49995,-4.999999999988347e-05,4.5,0.09166666666666666
56,4.49995,-4.999999999988347e-05,4.5,0.09333333333333334
57,4.49995,-4.999999999988347e-05,4.5,0.095
58,4.49995,-4.999999999988347e-05,4.5,0.09666666666666666
59,4.49995,-4.999999999988347e-05,4.5,0.09833333333333333
60,4.49995,-4.999999999988347e-05,4.5,0.1
61,4.49995,-4.999999999988347e-05,4.5,0.10166666666666667
62,4.49995,-4.999999999988347e-05,4.5,0.10333333333333333
63,4.49995,-4.999999999988347e-05,4.5,0.105
64,4.49995,-4.999999999988347e-05,4.5,0.10666666666666667
65,4.49995,-4.999999999988347e-05,4.5,0.10833333333333334
66,4.49995,-4.999999999988347e-05,4.5,0.11
67,4.49995,-4.999999999988347e-05,4.5,0.11166666666666666
68,4.49995,-4.999999999988347e-05,4.5,0.11333333333333333
69,4.49995,-4.999999999988347e-05,4.5,0.115
70,4.49995,-4.999999999988347e-05,4.5,0.11666666666666667
71,4.49995,-4.999999999988347e-05,4.5,0.11833333333333333
72,4.49995,-4.999999999988347e-05,4.5,0.12
73,4.49995,-4.999999999988347e-05,4.5,0.12166666666666667
74,4.49995,-4.999999999988347e-05,4.5,0.12333333333333334
75,4.49995,-4.999999999988347e-05,4.5,0.125
76,4.49995,-4.999999999988347e-05,4.5,0.12666666666666668
77,4.49995,-4.999999999988347e-05,4.5,0.12833333333333333
78,4.49995,-4.999999999988347e-05,4.5,0.13
79,4.49995,-4.999999999988347e-05,4.5,0.13166666666666665
80,4.49995,-4.999999999988347e-05,4.5,0.13333333333333333
81,4.49995,-4.999999999988347e-05,4.5,0.135
82,4.49995,-4.999999999988347e-05,4.5,0.13666666666666666
83,4.49995,-4.999999999988347e-05,4.5,0.13833333333333334
84,4.49995,-4.999999999988347e-05,4.5,0.14
85,4.49995,-4.999999999988347e-05,4.5,0.14166666666666666
86,4.49995,-4.999999999988347e-05,4.5,0.14333333333333334
87,4.49995,-4.999999999988347e-05,4.5,0.145
88,4.49995,-4.999999999988347e-05,4.5,0.14666666666666667
89,4.49995,-4.999999999988347e-05,4.5,0.14833333333333334
90,4.49995,-4.999999999988347e-05,4.5,0.15
91,4.49995,-4.999999999988347e-05,4.5,0.15166666666666667
92,4.49995,-4.999999999988347e-05,4.5,0.15333333333333332
93,4.49995,-4.999999999988347e-05,4.5,0.155
94,4.49995,-4.999999999988347e-05,4.5,0.15666666666666668
95,4.49995,-4.999999999988347e-05,4.5,0.15833333333333333
96,4.49995,-4.999999999988347e-05,4.5,0.16
97,4.49995,-4.999999999988347e-05,4.5,0.16166666666666665
98,4.49995,-4.999999999988347e-05,4.5,0.16333333333333333
99,4.49995,-4.999999999988347e-05,4.5,0.165
100,4.49995,-4.999999999988347e-05,4.5,0.16666666666666666
101,4.49995,-4.999999999988347e-05,4.5,0.16833333333333333
102,4.49995,-4.999999999988347e-05,4.5,0.17
103,4.49995,-4.999999999988347e-05,4.5,0.17166666666666666
104,4.49995,-4.999999999988347e-05,4.5,0.17333333333333334
