P_pv	P_sc	P_resultante
4.57005	-4.950000000025767e-05	4.57005
4.56057	0.00933619500000038	4.56057
4.5511	0.018618133050001262	4.5511
4.54163	0.02780725171950138	4.54163
4.53215	0.036914379202306336	4.53215
4.52268	0.04592053541028296	4.52268
4.51321	0.054836630056180447	4.51321
4.50373	0.06367346375561844	4.50373
4.5	0.06672942911806246	4.5
4.5	0.06606213482688172	4.5
4.5	0.065401513478613	4.5
4.5	0.0647474983438272	4.5
4.5	0.064100023360389	4.5
4.5	0.06345902312678486	4.5
4.5	0.06282443289551676	4.5
4.5	0.06219618856656162	4.5
4.5029	0.05870322668089578	4.5029
4.51022	0.05086939441408678	4.51022
4.51753	0.043123800469946794	4.51753
4.52485	0.035445762465246666	4.52485
4.53217	0.027844504840594198	4.53217
4.53948	0.020329159792188634	4.53948
4.5468	0.012879068194266097	4.5468
4.55412	0.005503477512323052	4.55412
4.56143	-0.0017884572627995254	4.56143
4.56875	-0.00901737269017211	4.56875
4.57607	-0.01617399896327054	4.57607
4.58339	-0.02325905897363789	4.58339
4.59	-0.02957036838390259	4.59
4.58142	-0.02078046470006356	4.58142
4.56909	-0.008365960053063226	4.56909
4.55676	0.003924399547467594	4.55676
4.54443	0.016091855551992218	4.54443
4.5321	0.028137636996473425	4.5321
4.51977	0.04006296062650794	4.51977
4.50745	0.05185913102024298	4.50745
4.5	0.058716039710041024	4.5
4.5	0.05812887931294064	4.5
4.5	0.05754759051981129	4.5
4.5	0.056972114614612934	4.5
4.5	0.05640239346846698	4.5
4.5	0.05583836953378185	4.5
4.5	0.05527998583844429	4.5
4.5	0.054727185980059545	4.5
4.5	0.05417991412025902	4.5
4.5	0.053638114979055906	4.5
4.5	0.05310173382926564	4.5
4.5	0.05257071649097256	4.5
4.5	0.05204500932606315	4.5
4.5	0.05152455923280197	4.5
4.5	0.05100931364047412	4.5
4.5	0.05049922050406952	4.5
4.5	0.04999422829902844	4.5
4.5	0.04949428601603767	4.5
4.5	0.048999343155877284	4.5
4.5	0.048509349724318085	4.5
4.5	0.04802425622707496	4.5
4.5	0.047544013664803764	4.5
4.5	0.047068573528155966	4.5
4.5	0.046597887792874104	4.5
4.5	0.04613190891494501	4.5
4.5	0.04567058982579564	4.5
4.5	0.04521388392753778	4.5
4.5	0.04476174508826247	4.5
4.5	0.04431412763737974	4.5
4.5	0.04387098636100539	4.5
4.5	0.043432276497394895	4.5
4.5	0.04299795373242077	4.5
4.5	0.04256797419509617	4.5
4.5	0.04214229445314466	4.5
4.5	0.04172087150861348	4.5
4.5	0.04130366279352682	4.5
4.5	0.04089062616559147	4.5
4.5	0.04048171990393534	4.5
4.5	0.04007690270489572	4.5
4.5	0.039676133677846614	4.5
4.5	0.03927937234106782	4.5
4.5	0.03888657861765665	4.5
4.5	0.038497712831479625	4.5
4.5	0.03811273570316498	4.5
4.5	0.03773160834613343	4.5
4.5	0.037354292262672395	4.5
4.5	0.036980749340045804	4.5
4.5	0.036610941846645595	4.5
4.5	0.036244832428178775	4.5
4.5	0.0358823841038971	4.5
4.5	0.035523560262857856	4.5
4.5	0.03516832466022901	4.5
4.5	0.03481664141362639	4.5
4.5	0.034468474999489906	4.5
4.5	0.0341237902494953	4.5
4.5	0.03378255234700056	4.5
4.5	0.0334447268235305	4.5
4.5	0.03311027955529511	4.5
4.5	0.032779176759741624	4.5
4.5	0.03245138499214395	4.5
4.5	0.032126871142222235	4.5
4.5	0.03180560243079977	4.5
4.5	0.03148754640649187	4.5
4.5	0.031172670942426706	4.5
4.5	0.030860944233002563	4.5
4.5	0.030552334790672653	4.5
4.5	0.03024681144276542	4.5
4.5	0.02994434332833773	4.5
4.5	0.02964489989505381	4.5
4.5	0.029348450896103273	4.5
4.5	0.029054966387142223	4.5
4.5	0.02876441672327079	4.5
4.5	0.0284767725560382	4.5
4.5	0.028192004830478012	4.5
4.5	0.027910084782172717	4.5
4.50943	0.01829528393435087	4.50943
4.52127	0.006390731095007318	4.52127
4.53311	-0.0053947762159420876	4.53311
4.54495	-0.017062428453782807	4.54495
4.5568	-0.028623304169244967	4.5568
4.56864	-0.04005867112755279	4.56864
4.58048	-0.05137968441627638	4.58048
4.59	-0.06029068757211409	4.59
4.59	-0.05968778069639313	4.59
4.59	-0.05909090288942931	4.59
4.59	-0.058499993860535504	4.59
4.59	-0.05791499392193078	4.59
4.59	-0.0573358439827123	4.59
4.59	-0.05676248554288588	4.59
4.59	-0.056194860687457826	4.39
4.59	-0.05563291208058363	4.39
4.59	-0.05507658295977791	4.39
4.59	-0.05452581713018034	4.39
4.59	-0.05398055895887932	4.39
4.59	-0.05344075336929066	4.39
4.59	-0.0529063458355985	4.39
4.59	-0.05237728237724326	4.39
4.59	-0.0518535095534709	4.39
4.59	-0.05133497445793633	4.79
4.59	-0.050821624713357494	4.79
4.59	-0.05031340846622445	4.79
4.59	-0.049810274381562714	4.79
4.59	-0.04931217163774715	4.79
4.59	-0.048819049921370095	4.79
4.5794	-0.03783685942215609	4.7794
4.56417	-0.02238079082793476	4.76417
4.54894	-0.0070792829196557605	4.74894
4.53371	0.008069209909541186	4.73371
4.51849	0.023056317810445925	4.51849
4.50326	0.03790345463234157	4.50326
4.5	0.040751820086017965	4.5
4.50726	0.03315690188515852	4.50726
4.51785	0.022341232866305738	4.51785
4.52844	0.011633720537642667	4.52844
4.53903	0.001033283332265711	4.53903
4.54962	-0.00946114950105681	4.54962
4.56021	-0.01985063800604614	4.56021
4.57079	-0.030126331625985436	4.57079
4.58138	-0.04030916830972586	4.58138
4.59	-0.0484398766266283	4.59
4.59	-0.047955477860362805	4.59
4.59	-0.04747592308175985	4.59
4.59	-0.04700116385094244	4.59
4.59	-0.046531152212433646	4.59
4.59	-0.046065840690309834	4.59
4.59	-0.04560518228340715	4.59
4.59	-0.04514913046057334	4.59
4.59	-0.04469763915596836	4.59
4.59	-0.044250662764409476	4.59
4.59	-0.04380815613676603	4.59
4.59	-0.043370074575398654	4.59
4.59	-0.04293637382964466	4.59
4.59	-0.04250701009134872	4.59
4.59	-0.0420819399904353	4.59
4.59	-0.04166112059053173	4.59
4.59	-0.04124450938462676	4.59
4.59	-0.04083206429078068	4.59
4.59	-0.0404237436478736	4.59
4.59	-0.040019506211395495	4.59
4.59	-0.03961931114928241	4.59
4.59	-0.039223118037789995	4.59
4.59	-0.03883088685741232	4.59
4.59	-0.03844257798883888	4.59
4.59	-0.0380581522089507	4.59
4.59	-0.03767757068686173	4.59
4.59	-0.037300794979993945	4.59
4.59	-0.03692778703019428	4.59
4.59	-0.03655850915989234	4.59
4.59	-0.036192924068293664	4.59
4.59	-0.03583099482761121	4.59
4.59	-0.03547268487933586	4.59
4.59	-0.03511795803054252	4.59
4.59	-0.0347667784502379	4.59
4.58787	-0.032310410665735034	4.58787
4.58248	-0.02665120655907849	4.58248
4.57709	-0.021048594493487727	4.4770900000000005
4.5717	-0.01550200854855266	4.4717
4.56631	-0.01001088846306697	4.46631
4.56092	-0.004574679578436935	4.460920000000001
4.55553	0.0008071672173475264	4.45553
4.55014	0.006135195545174277	4.45014
4.54475	0.01140994358972236	4.44475
4.53936	0.016631944153823852	4.439360000000001
4.53397	0.021801724712286585	4.43397
4.52858	0.026919807465164425	4.6285799999999995
4.52319	0.03198670939051329	4.623189999999999
4.51781	0.036993042296607825	4.6178099999999995
4.51242	0.0419592118736416	4.612419999999999
4.50703	0.046875719754904566	4.60703
4.50164	0.051743062557355834	4.60164
4.5	0.05284923193178237	4.6
4.5	0.05232073961246453	4.6
4.5	0.05179753221633998	4.6
4.5	0.05127955689417618	4.6
4.5	0.05076676132523428	4.5
4.5	0.050259093711981784	4.5
4.5	0.0497565027748621	4.5
4.5	0.04925893774711376	4.5
4.5	0.04876634836964211	4.5
