P_pv	P_sc	P_resultante
4.57005	-4.954504504528501e-05	4.57005
4.56057	0.00938307019473772	4.56057
4.5511	0.018782189907057045	4.5511
4.54163	0.028161083500096495	4.54163
4.53215	0.037529289398203325	4.53215
4.52268	0.04686572658224186	4.52268
4.51321	0.056179366283590326	4.51321
4.50373	0.065479411035815	4.50373
4.5	0.06902099730457145	4.5
4.5	0.06883376888306536	4.5
4.5	0.06864740469858344	4.5
4.5	0.06846173415897283	4.5
4.5	0.06827666617735417	4.5
4.5	0.06809215178129868	4.5
4.5	0.06790816433790692	4.5
4.5	0.06772468907365514	4.5
4.5029	0.06464955243405868	4.5029
4.51022	0.05717466898135548	4.51022
4.51753	0.04972995457842355	4.51753
4.52485	0.042295380589933984	4.52485
4.53217	0.0348808920480872	4.53217
4.53948	0.02749640741159265	4.53948
4.5468	0.020121899531674536	4.5468
4.55412	0.012767314383909323	4.55412
4.56143	0.00544257110534474	4.56143
4.56875	-0.0018723569030010268	4.56875
4.57607	-0.00916752317753744	4.57607
4.58339	-0.016442981107318566	4.58339
4.59	-0.02299070204521847	4.59
4.58142	-0.014371770637930048	4.58142
4.56909	-0.002036254667679316	4.56909
4.55676	0.010265936139762566	4.55676
4.54443	0.022534891814522062	4.54443
4.5321	0.03477070214341804	4.5321
4.51977	0.0469734566706661	4.51977
4.50745	0.059133271714185476	4.50745
4.5	0.06640339286955221	4.5
4.5	0.06622399997880546	4.5
4.5	0.06604509172910422	4.5
4.5	0.06586666681115716	4.5
4.5	0.06568872391921143	4.5
4.5	0.06551126175104294	4.4
4.5	0.06533427900794564	4.4
4.5	0.06515777439472359	4.4
4.5	0.06498174661967848	4.4
4.5	0.06480619439460256	4.4
4.5	0.06463111643476793	4.4
4.5	0.06445651145891684	4.4
4.5	0.06428237818925453	4.4
4.5	0.0641087153514377	4.4
4.5	0.06393552167456473	4.5
4.5	0.06376279589116862	4.5
4.5	0.06359053673720538	4.5
4.5	0.06341874295204697	4.5
4.5	0.0632474132784715	4.5
4.5	0.0630765464626517	4.5
4.5	0.06290614125414873	4.5
4.5	0.06273619640590145	4.5
4.5	0.06256671067421848	4.5
4.5	0.062397682818767564	4.5
4.5	0.06222911160256839	4.6
4.5	0.06206099579198199	4.6
4.5	0.061893334156700064	4.6
4.5	0.06172612546974143	4.6
4.5	0.06155936850743693	4.6
4.5	0.06139306204942496	4.6
