P_pv	P_sc	P_resultante
4.57005	nan	nan
4.56057	0.0047399999999999665	4.56531
4.5511	-1.0113588289663311	3.539741171033669
4.54163	-1.009253268624359	3.5323767313756407
4.53215	-1.0071454905743602	3.5250045094256395
4.52268	-1.005043286768455	3.5176367132315454
4.51321	-1.002937726423745	3.510272273576255
4.50373	-1.000829948398771	3.502900051601229
4.5	-1.0006429735971234	3.4993570264028766
4.5	-1.0004151315012342	3.499584868498766
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5029	-1.000966459279903	3.5019335407200973
4.51022	-1.00276132261133	3.5074586773886702
4.51753	-1.003895783000873	3.513634216999127
4.52485	-1.0055246589250784	3.5193253410749215
4.53217	-1.0071502195174693	3.5250197804825305
4.53948	-1.0087735542240002	3.530706445776
4.5468	-1.0104024302215828	3.5363975697784173
4.55412	-1.0120279908002248	3.5420920091997754
4.56143	-1.013651325510999	3.5477786744890007
4.56875	-1.0152802015811484	3.5534697984188512
4.57607	-1.0169057621460698	3.55916423785393
4.58339	-1.018532426681651	3.5648575733183487
4.59	-1.0199226616803378	3.570077338319662
4.58142	-1.0164058859114853	3.5650141140885143
4.56909	-1.0149365000433073	3.554153499956693
4.55676	-1.0126169603190585	3.5441430396809412
4.54443	-1.0098769699425594	3.534553030057441
4.5321	-1.0071369796172398	3.52496302038276
4.51977	-1.0043969893435096	3.5153730106564907
4.50745	-1.001660338631091	3.5057896613689095
4.5	-1.0005471978100577	3.4994528021899423
4.5	-1.0008305186419753	3.4991694813580247
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
4.5	-1.0	3.5
